lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
5,2,114.0,9,8,4,4,0,0,0,1
12,1,130.0,2,5,4,2,1,0,3,1
40,0,98.0,10,5,3,1,1,0,0,1
0,0,185.0,9,19,2,1,1,0,0,1
47,2,95.48,10,15,4,3,2,0,3,1
36,0,159.3,5,14,4,1,1,0,3,0
47,0,104.88,9,22,4,3,0,0,0,1
32,0,73.87,10,12,4,2,1,0,0,1
239,2,80.75,6,28,4,5,0,3,0,0
12,0,135.0,10,3,4,1,1,3,0,0
21,0,101.15,5,29,4,3,2,0,0,1
5,0,62.8,12,5,3,1,2,0,0,1
43,2,194.3,11,1,4,3,0,1,3,1
44,1,80.74,3,11,4,2,2,0,0,1
25,1,110.46,8,22,4,2,1,0,0,1
33,1,85.5,9,14,4,1,1,0,0,1
40,2,207.9,9,20,4,3,0,0,5,1
16,1,162.0,7,19,4,2,0,0,3,0
10,0,206.55,12,31,3,2,0,0,0,1
56,2,126.0,11,2,4,3,0,0,0,1
163,2,74.65,10,23,4,3,2,0,0,1
27,1,115.0,9,18,4,2,1,3,0,1
0,1,80.3,1,5,4,2,0,0,0,1
11,2,73.6,2,12,3,2,1,0,3,1
63,2,134.47,4,25,4,4,1,0,3,1
201,1,121.5,8,25,4,3,0,0,0,0
25,1,65.0,9,5,2,0,1,0,0,1
27,1,80.75,5,29,3,2,2,0,0,1
96,0,110.97,10,26,4,2,0,0,3,0
89,1,90.95,4,10,4,3,2,0,0,1
3,0,136.0,8,17,2,5,2,0,0,0
16,1,173.67,7,31,4,1,2,0,3,1
4,3,122.0,8,17,4,3,1,0,0,1
36,1,96.3,11,13,4,2,0,0,0,1
116,1,73.77,4,28,4,5,2,0,0,1
2,0,66.0,1,14,2,1,0,0,0,1
50,1,87.3,3,11,4,2,1,0,3,1
26,1,79.85,10,4,4,3,2,0,3,0
70,2,119.85,5,11,4,5,2,0,0,1
81,0,126.9,5,18,4,2,0,0,0,0
74,1,116.1,6,10,4,2,0,3,0,1
19,2,93.0,2,19,4,3,2,0,0,1
200,3,82.92,10,31,4,2,1,0,1,1
4,1,112.0,5,21,3,1,1,1,0,1
9,2,175.0,10,7,4,2,0,0,3,1
71,1,63.49,2,15,4,4,1,0,3,1
22,0,115.0,10,5,3,2,0,0,0,1
193,1,76.85,7,9,4,1,2,0,1,1
0,0,75.0,12,19,4,1,0,3,0,1
6,0,63.0,2,15,3,2,1,0,0,1
12,1,156.0,8,22,4,2,1,0,3,1
5,2,66.3,12,14,4,4,0,3,0,1
1,0,0.0,3,2,4,1,0,0,0,1
8,2,134.75,9,1,3,3,0,1,0,1
35,1,109.0,10,28,4,2,0,3,0,0
81,0,85.5,4,10,4,0,2,3,0,0
184,0,89.25,10,12,4,3,1,0,0,0
145,0,153.0,10,22,4,1,1,1,0,0
200,4,115.6,10,3,3,4,1,0,3,1
50,0,131.4,11,11,4,2,0,1,0,0
63,0,159.3,6,8,4,3,0,0,3,0
24,3,129.0,10,2,4,2,2,3,0,1
12,1,93.0,2,7,4,0,1,0,0,0
8,0,125.0,5,1,4,0,1,0,0,0
109,0,152.1,8,24,4,4,0,0,3,0
159,1,130.5,8,7,4,1,2,0,0,0
49,1,130.9,3,30,4,4,0,1,3,0
7,2,0.0,6,3,1,1,0,0,6,1
80,1,78.3,3,7,4,2,1,0,0,0
1,1,65.0,11,5,3,1,0,0,0,1
24,2,139.0,8,4,4,2,0,3,0,1
183,0,110.0,9,8,3,3,0,0,0,0
6,0,89.0,3,22,4,2,0,3,0,0
57,1,79.2,11,1,4,3,0,3,0,1
91,1,109.65,5,22,4,2,2,3,0,1
123,0,113.55,5,13,4,2,2,0,0,0
133,1,81.25,7,13,3,4,0,0,0,1
33,0,120.6,9,10,3,1,1,0,0,1
68,1,137.7,4,21,4,1,0,0,3,0
2,1,129.0,6,16,4,2,0,3,0,1
141,0,96.9,8,20,3,2,2,0,0,1
226,0,102.76,10,25,3,3,0,1,0,0
58,2,88.2,12,9,4,1,0,3,0,1
5,0,110.0,9,12,0,1,1,0,3,1
107,1,90.0,8,12,4,1,0,0,1,1
48,0,75.0,11,6,3,3,2,0,0,1
130,1,90.95,6,28,4,5,0,0,0,0
4,2,78.0,12,16,4,1,0,3,0,1
195,0,72.25,8,8,3,5,2,0,0,1
36,0,80.0,1,19,3,2,0,0,0,1
3,1,0.0,11,25,1,2,0,0,0,1
35,0,153.3,5,27,4,2,1,0,3,0
121,1,103.5,5,17,4,1,0,3,0,1
40,0,106.9,9,4,4,5,2,0,1,0
23,1,118.0,9,6,4,2,0,0,0,1
71,1,112.58,12,29,4,5,0,0,0,1
253,0,2.0,9,26,4,2,1,0,0,1
109,1,129.6,9,7,4,3,0,0,0,1
113,2,137.7,7,12,4,3,0,0,3,1
106,2,140.0,12,25,4,0,1,0,3,0
4,1,0.0,11,19,1,1,0,0,3,1
154,1,90.95,6,27,4,3,1,0,0,1
8,2,196.0,9,18,4,0,2,0,0,1
164,2,90.0,3,13,4,2,2,0,0,1
84,0,132.6,5,24,4,4,0,0,3,0
80,0,86.0,9,26,3,2,1,1,0,1
11,1,127.6,8,19,4,1,0,0,1,1
62,0,75.0,11,21,3,3,1,0,0,1
14,0,153.03,10,4,4,5,2,1,0,1
16,0,6.0,3,8,1,2,0,0,3,1
173,1,126.9,9,13,4,5,2,0,0,0
53,1,107.1,10,29,4,1,1,0,0,0
138,1,105.28,5,14,4,5,2,0,0,1
46,1,139.5,10,4,4,4,0,0,3,0
64,2,168.3,9,19,4,3,1,0,3,1
85,0,177.3,8,24,4,1,0,0,3,1
0,0,66.0,1,4,2,2,1,0,0,1
22,1,88.33,11,21,4,1,2,0,0,1
2,0,104.0,10,26,4,1,0,0,0,1
16,0,102.33,6,12,4,1,2,3,0,1
127,0,143.1,9,1,4,3,1,0,3,0
5,4,154.0,9,17,4,1,1,3,0,1
0,1,97.0,6,23,4,1,0,0,0,1
199,0,106.0,9,12,2,2,1,0,4,0
68,1,60.0,11,30,3,3,1,0,3,1
12,2,141.0,5,2,4,0,1,0,0,1
177,1,127.8,8,12,4,2,1,0,3,0
19,0,110.5,12,31,4,2,2,0,0,1
52,0,48.4,3,7,3,4,1,0,0,1
100,1,76.5,7,2,4,2,0,0,0,0
2,3,130.0,10,27,4,2,0,3,0,1
4,1,91.0,5,21,3,1,1,1,0,1
24,0,70.0,3,20,3,0,1,0,0,1
101,0,84.58,7,11,3,2,1,0,0,1
124,1,96.3,6,27,4,2,1,0,0,1
8,3,92.4,9,8,4,2,0,0,3,1
138,0,169.15,7,11,4,4,1,0,5,0
157,0,108.0,10,3,4,2,1,3,0,0
17,0,80.0,12,10,3,1,1,0,0,1
6,0,106.4,9,12,4,0,1,0,0,1
37,2,145.8,9,21,4,3,1,0,0,1
0,1,84.0,12,13,2,1,0,0,0,1
76,1,76.5,3,18,4,2,0,3,0,1
16,2,90.0,8,29,4,1,1,0,0,1
35,1,107.1,6,21,4,2,0,0,0,1
160,0,71.6,7,25,4,5,3,0,0,0
14,0,82.0,9,17,3,2,0,1,0,1
60,0,75.0,11,25,3,2,2,0,0,1
70,2,105.3,4,22,4,2,0,0,0,1
159,0,103.21,6,12,4,2,2,0,1,0
175,0,72.25,8,3,3,9,3,0,0,1
227,0,72.9,12,8,4,3,0,0,0,0
142,1,79.2,12,22,4,2,0,3,0,1
97,2,141.3,7,21,4,3,2,0,3,1
79,0,159.3,5,14,4,1,2,0,3,0
73,0,62.0,10,28,3,1,0,0,0,1
68,1,131.4,6,30,4,2,0,0,3,0
153,0,119.28,7,5,4,5,1,0,3,0
12,3,97.0,11,15,4,4,0,0,0,1
218,2,106.1,10,7,4,2,1,0,0,0
136,0,123.25,6,30,4,3,1,1,0,1
43,0,126.9,5,9,4,2,1,0,0,0
59,0,85.0,7,1,3,2,1,0,0,1
70,0,46.33,11,26,3,3,0,0,0,1
29,1,150.61,9,30,4,2,2,0,5,1
0,1,180.0,9,25,4,2,2,0,3,1
91,1,107.1,8,21,4,0,2,3,0,1
62,1,126.4,5,21,4,1,2,3,0,1
58,2,158.53,6,10,4,2,1,0,3,1
78,0,274.2,12,29,3,3,1,0,6,1
38,0,60.0,1,10,3,3,2,0,0,1
14,0,140.0,3,31,4,3,2,0,3,1
16,0,132.33,6,13,4,2,1,0,0,0
46,2,78.0,12,26,4,3,2,0,0,1
186,2,130.05,8,6,4,6,2,0,3,0
11,0,65.0,9,15,2,3,0,0,0,1
84,1,105.4,4,27,4,4,0,0,0,1
49,0,105.3,7,9,4,1,1,3,0,0
118,0,90.9,4,16,4,1,0,0,0,0
1,1,80.0,1,27,4,1,0,0,0,1
28,1,144.8,5,20,4,2,1,0,3,1
43,0,123.9,7,19,4,3,0,0,0,0
386,1,90.0,10,23,4,0,2,1,0,0
64,0,65.0,2,7,3,1,2,0,0,1
184,0,101.05,10,4,4,3,0,0,1,0
33,1,57.92,9,26,3,3,2,0,0,1
138,0,90.95,4,23,4,2,2,0,0,1
98,1,86.7,4,9,4,2,2,0,0,0
17,1,230.0,8,22,4,3,1,0,5,1
1,1,100.0,11,22,4,3,0,3,3,1
18,0,95.0,9,25,3,3,2,0,0,1
36,1,88.0,12,27,4,1,0,3,0,1
56,0,60.0,11,6,3,2,2,0,3,1
7,1,146.67,10,29,4,1,2,0,0,1
247,1,0.0,6,6,4,0,0,1,0,1
0,2,0.0,2,3,1,1,0,0,3,1
19,0,139.0,8,20,4,2,2,3,0,0
16,1,151.0,6,30,4,5,2,0,0,1
132,0,82.45,8,3,3,5,2,1,3,1
15,0,153.0,8,29,4,1,1,0,5,0
7,0,133.0,3,2,4,3,0,0,3,0
7,1,201.0,7,29,4,1,0,0,5,1
41,0,140.4,3,25,4,2,0,0,3,0
0,0,153.0,8,9,4,0,2,0,5,1
5,0,105.0,11,1,4,2,2,0,3,1
190,0,83.79,6,9,4,8,2,0,0,0
26,1,151.0,7,2,4,1,1,0,0,0
19,2,88.0,11,18,4,2,1,3,0,1
41,1,57.83,2,9,4,2,0,0,0,1
76,0,69.33,4,12,4,3,0,0,0,1
1,2,180.33,9,3,4,3,0,0,5,1
34,1,81.9,3,12,4,1,0,0,0,1
12,0,91.0,2,18,4,3,1,0,0,1
134,1,119.85,6,9,4,5,2,0,0,0
64,0,80.1,4,1,4,1,0,0,0,1
3,0,66.0,2,1,2,1,1,0,0,1
66,0,73.5,3,16,4,3,0,3,0,0
13,2,90.0,8,18,4,2,0,0,0,1
61,0,102.0,3,21,4,3,1,0,3,1
6,0,67.0,12,8,2,1,0,0,0,1
58,1,116.1,6,10,4,1,0,3,0,1
19,1,130.67,6,21,4,3,0,0,0,1
54,1,117.0,12,30,4,4,1,0,3,1
124,1,88.76,6,30,4,2,0,0,1,1
27,1,91.0,2,20,4,1,1,0,0,0
291,0,68.0,12,28,3,5,2,0,0,1
116,1,126.9,6,15,4,1,0,0,0,1
131,0,36.25,8,15,4,1,2,1,0,0
0,1,109.0,7,29,4,1,0,3,0,1
214,1,80.75,9,23,3,2,1,0,0,1
20,2,199.33,12,28,4,2,1,0,5,1
17,0,95.0,10,30,3,1,0,0,0,1
76,1,93.6,11,22,4,1,0,0,0,1
93,0,159.3,6,8,4,3,0,0,0,0
30,0,110.97,9,4,4,0,2,0,3,0
185,0,107.1,11,4,4,2,1,0,0,0
30,0,87.27,11,11,4,2,1,3,0,1
57,1,64.67,12,12,4,4,1,0,0,1
147,2,143.1,9,18,4,3,2,0,3,1
247,1,70.03,10,28,4,2,2,0,0,0
63,1,73.8,11,3,4,3,0,3,0,1
301,0,109.0,7,30,4,1,1,1,0,0
36,1,67.32,3,29,3,2,0,0,0,1
15,1,47.33,12,27,3,3,0,0,0,1
5,1,106.0,3,16,2,2,0,0,4,1
18,1,129.0,4,2,4,1,0,3,0,1
1,0,67.0,3,30,2,3,0,0,0,1
52,0,79.2,9,5,4,0,1,3,0,1
179,0,121.01,9,2,4,5,2,0,1,0
22,2,96.9,11,17,4,3,1,0,3,1
19,1,139.0,9,23,4,2,1,0,0,1
80,1,122.4,12,31,4,1,0,0,0,1
42,1,73.15,10,26,4,4,1,3,0,1
52,0,85.85,3,28,4,3,1,0,0,0
256,0,109.0,6,15,3,2,0,1,0,0
68,1,78.3,2,13,4,1,1,0,0,1
56,1,98.4,12,27,4,3,0,3,0,1
0,1,111.33,3,22,4,3,0,3,0,1
111,0,58.0,3,27,3,2,2,0,0,1
80,0,102.6,12,26,4,2,1,0,3,0
73,1,115.8,4,9,4,1,2,0,3,1
5,0,151.0,7,16,4,1,0,0,0,0
14,0,70.88,12,5,4,3,1,0,3,1
25,1,64.67,12,2,4,2,2,0,0,1
48,0,68.0,12,1,3,3,2,0,0,1
86,0,86.36,7,1,3,2,1,0,0,1
68,1,136.3,10,10,4,2,1,0,0,1
111,1,117.11,6,2,4,3,0,0,3,1
103,1,106.59,7,15,4,5,2,0,0,1
43,1,145.2,10,15,4,4,2,0,3,1
52,1,73.2,11,6,4,2,1,0,0,1
7,1,142.6,9,12,4,3,2,0,0,1
262,0,100.3,9,13,4,4,0,0,0,0
43,2,94.5,9,17,4,1,0,0,0,1
1,1,151.0,8,4,4,1,0,0,0,1
30,1,97.71,5,15,4,3,2,0,0,1
41,0,60.0,12,27,3,1,0,0,0,1
3,1,67.0,6,20,2,1,1,0,0,1
28,1,114.0,4,16,4,1,1,0,0,1
28,2,95.95,10,12,4,1,1,0,0,1
296,0,158.4,7,24,4,5,2,0,5,0
133,1,100.3,12,6,4,4,0,0,0,0
116,1,99.45,5,15,4,3,2,0,0,1
79,4,139.5,7,24,4,4,2,0,3,1
122,0,68.0,8,1,3,5,2,0,0,1
164,0,107.95,8,13,4,3,2,0,0,0
24,1,95.0,5,8,2,3,2,0,0,1
147,0,118.8,8,22,4,2,1,0,3,0
179,2,121.5,9,24,4,1,2,0,0,0
87,0,75.0,12,15,3,3,0,0,0,1
12,1,152.0,9,17,4,1,0,0,0,0
27,1,89.0,1,10,4,0,1,0,0,1
44,1,74.82,1,29,4,3,2,0,0,1
179,0,179.92,8,15,4,5,1,1,3,0
21,0,85.0,3,4,4,1,0,0,0,0
24,0,94.93,12,8,4,3,0,0,3,1
5,0,1.6,12,22,1,5,0,0,1,1
117,0,126.9,6,3,4,2,1,0,0,1
37,0,164.25,8,17,4,1,0,1,0,0
48,0,65.83,10,23,4,1,0,0,0,1
27,0,105.49,4,20,4,2,0,0,3,0
88,0,68.0,10,7,2,2,1,0,0,1
280,1,91.8,11,16,4,3,0,0,3,0
277,0,96.3,10,16,4,0,2,0,0,0
68,0,106.75,9,3,3,3,2,1,0,1
3,0,0.0,6,24,4,0,0,0,3,1
33,0,65.0,9,28,1,2,0,0,0,1
126,1,80.75,6,2,3,3,0,0,0,1
55,2,80.24,12,24,4,3,2,3,0,1
46,0,67.5,11,4,3,2,0,0,0,1
37,0,135.45,3,24,4,2,0,0,3,1
71,1,131.4,8,26,4,2,2,0,0,1
81,1,103.5,6,30,4,3,1,3,0,1
71,1,105.0,11,11,4,2,1,0,0,1
37,0,96.3,4,30,3,3,2,0,3,1
14,1,142.64,11,7,4,0,1,0,0,1
91,1,61.33,10,30,4,2,2,3,0,1
168,2,116.55,6,18,4,1,1,0,0,0
43,0,86.61,2,17,4,3,0,0,4,0
67,3,93.6,11,1,4,4,0,0,0,1
217,2,65.11,12,5,4,7,3,3,0,1
48,1,85.5,8,31,3,4,1,0,0,1
18,1,105.64,9,15,4,3,1,0,3,1
167,1,104.4,10,26,4,5,2,0,3,0
38,0,137.52,9,16,4,2,0,0,4,1
79,2,109.8,12,9,4,2,1,0,0,1
130,2,85.5,8,27,4,1,2,3,0,1
69,1,111.3,12,30,4,4,0,0,0,1
7,1,119.0,4,15,4,2,0,3,0,1
15,1,95.0,6,14,4,1,0,0,0,1
60,1,65.0,10,12,3,1,1,0,0,1
1,0,86.0,2,6,4,1,1,0,0,1
18,1,81.8,2,6,4,1,2,0,3,1
6,0,87.0,12,18,4,2,1,0,0,1
7,1,116.8,10,21,4,2,0,3,0,1
49,0,60.0,11,9,3,4,1,0,3,1
215,0,67.26,11,30,4,4,0,0,1,0
16,2,71.6,1,17,4,1,2,0,0,1
11,1,110.0,11,1,2,5,1,0,2,1
208,2,90.95,8,29,3,2,1,0,3,1
4,0,66.0,1,12,2,2,0,0,0,1
47,1,123.96,4,28,4,3,1,0,0,1
15,1,118.0,8,29,4,2,1,3,0,1
119,2,132.3,10,16,4,3,2,0,3,1
151,0,136.12,8,4,4,5,2,0,0,0
55,1,168.3,9,10,4,1,1,0,3,1
48,2,111.6,10,2,4,2,0,0,0,1
227,0,90.95,8,24,4,4,1,0,0,0
28,0,67.0,7,14,2,1,0,0,0,1
17,1,124.0,9,11,4,0,2,0,0,1
11,1,102.41,8,16,4,2,0,3,0,1
54,0,75.0,4,2,3,1,2,0,0,1
210,2,96.9,8,2,3,6,2,0,0,1
2,1,81.0,12,15,4,1,0,0,0,1
255,1,84.43,10,12,4,4,0,3,0,0
144,0,96.9,7,22,3,2,2,0,0,1
15,1,141.68,9,15,4,2,0,0,3,1
47,0,85.5,10,18,3,3,0,0,0,1
35,1,133.2,9,26,4,1,1,0,0,0
121,0,76.5,8,10,4,2,1,0,0,0
144,0,97.75,7,6,4,4,0,3,0,0
7,1,160.0,10,18,4,4,0,0,0,1
17,2,139.0,10,6,4,1,0,0,0,1
79,2,126.0,12,27,4,1,0,0,3,1
149,0,130.5,8,12,4,2,1,0,0,0
74,0,92.65,12,27,3,3,0,0,0,1
6,1,136.0,10,20,4,2,0,0,3,1
63,1,72.9,3,11,4,2,1,0,0,1
34,1,87.32,10,29,4,3,0,0,0,1
11,0,79.05,11,17,4,3,2,3,0,0
83,1,132.6,5,1,4,3,2,0,3,1
25,0,221.0,5,19,4,1,0,0,5,0
91,0,159.3,8,21,4,0,2,0,3,1
101,0,67.45,2,20,4,2,2,0,0,1
31,1,233.1,9,2,4,2,1,1,5,1
61,1,89.25,10,13,4,4,0,0,0,1
48,0,159.3,5,6,4,2,1,0,3,1
259,2,131.43,12,28,4,4,1,0,0,1
1,0,75.0,3,7,2,3,1,0,3,0
67,1,79.2,11,21,4,1,1,0,0,1
71,2,168.3,4,18,4,1,1,0,5,1
6,1,67.0,12,8,2,1,0,0,0,1
90,1,63.86,4,1,4,2,0,0,0,1
64,1,81.08,7,18,4,2,1,0,0,1
0,2,143.5,6,28,4,2,0,3,0,1
35,2,83.9,3,3,4,3,2,0,0,1
12,0,75.2,12,14,4,1,0,0,0,1
170,2,114.75,8,10,4,4,1,0,0,0
3,0,52.0,1,14,3,3,0,0,0,1
43,1,126.9,5,24,4,2,0,0,0,1
36,2,214.76,8,7,4,0,1,0,6,1
223,0,86.63,7,24,4,1,2,0,1,0
125,0,132.67,12,1,4,3,2,0,5,0
56,2,162.0,8,26,4,2,2,0,3,1
36,1,55.09,12,10,4,2,0,3,0,1
156,2,171.96,8,13,4,5,2,1,0,0
113,1,92.94,7,5,4,5,1,0,3,1
52,1,107.0,3,19,3,1,2,1,0,1
99,1,109.5,7,9,4,1,2,3,0,1
28,1,115.37,8,28,4,4,2,0,0,0
79,0,150.45,5,16,4,3,1,0,0,0
106,0,94.5,7,12,4,6,2,3,0,0
28,0,97.0,1,8,3,2,0,1,0,1
0,1,0.0,1,19,1,1,0,0,0,1
149,2,120.7,8,12,4,4,2,0,3,1
1,1,155.0,10,20,4,1,0,0,3,1
214,2,96.9,9,30,4,2,2,3,0,1
62,1,91.48,4,21,4,3,0,0,3,1
1,3,0.0,8,12,4,2,0,0,1,1
40,0,38.67,12,26,3,1,2,0,0,1
2,0,94.5,8,1,3,1,2,1,0,0
83,0,117.1,7,25,3,2,1,0,0,1
228,0,93.3,10,30,4,1,2,0,0,0
37,1,74.8,12,7,4,4,0,3,0,1
48,1,126.0,9,4,4,0,2,0,1,1
5,0,65.0,11,14,2,0,1,0,0,1
107,0,79.2,11,25,4,1,0,3,0,0
220,0,85.5,8,29,4,1,1,3,0,0
42,0,89.0,6,13,2,1,1,0,0,1
64,1,99.45,4,4,4,3,1,0,0,1
29,0,130.8,6,18,4,2,2,0,3,0
81,2,123.0,10,21,4,4,2,0,3,0
65,0,72.25,6,2,3,3,0,3,0,1
51,1,109.8,8,29,4,2,1,0,0,0
112,1,97.75,12,6,4,4,0,0,3,0
163,0,192.95,12,23,4,2,2,1,5,1
10,1,140.8,8,27,4,3,2,0,0,1
152,2,184.34,7,30,4,11,5,1,0,0
102,1,94.5,7,26,4,2,0,3,0,0
45,0,63.75,3,7,4,3,1,3,0,0
1,1,81.0,2,9,4,1,0,3,0,0
77,1,132.3,10,6,4,3,0,0,3,0
16,1,118.8,12,4,4,0,2,0,0,1
0,0,0.0,9,1,1,1,0,0,0,1
34,1,151.2,10,4,4,3,0,0,3,1
14,1,72.0,5,18,3,4,0,0,0,1
0,0,98.0,8,7,4,2,0,0,0,1
60,1,96.3,12,9,4,4,0,0,0,1
116,0,121.37,7,18,4,5,2,0,3,0
6,1,97.02,10,18,4,2,2,0,0,1
0,0,90.0,1,25,4,0,1,3,0,1
78,1,88.4,12,8,4,3,1,0,0,1
3,1,139.0,7,9,4,1,0,3,0,1
5,0,65.0,9,2,2,1,0,0,0,1
28,2,224.1,9,30,4,2,0,0,5,1
177,1,125.1,10,2,4,5,2,0,0,0
52,1,140.4,5,4,4,1,0,0,3,1
15,0,136.0,6,13,4,3,1,0,3,0
101,0,61.5,12,31,3,3,1,0,3,1
14,2,192.67,3,24,4,3,0,0,3,1
55,3,93.6,11,24,4,3,0,0,0,1
99,1,94.5,7,16,4,1,2,3,0,0
34,1,71.55,1,6,4,2,0,0,1,1
291,2,80.75,12,28,4,4,2,0,0,1
8,0,124.0,3,11,4,2,1,0,3,0
269,0,102.51,10,10,4,4,1,0,0,0
8,1,75.81,10,31,4,5,2,0,0,1
0,0,92.0,8,8,4,0,1,3,0,1
4,0,85.0,4,15,3,2,0,0,0,1
180,3,141.3,10,8,4,1,2,0,3,1
32,1,75.0,11,15,1,2,0,0,4,1
3,1,115.5,10,31,4,0,1,0,0,1
90,1,76.5,4,8,4,2,1,3,0,1
6,0,58.4,10,1,3,3,2,0,0,1
48,0,65.0,8,30,2,2,0,0,0,0
87,0,108.29,4,27,4,4,1,0,0,1
113,1,186.3,8,11,4,2,0,0,5,1
0,0,165.0,9,1,4,3,0,0,0,1
349,0,123.33,10,4,4,5,1,0,0,0
76,3,127.38,9,21,4,3,0,0,1,1
147,0,101.7,5,4,4,4,0,0,0,0
11,0,91.5,12,2,4,2,0,3,0,1
1,1,111.0,6,14,4,1,0,0,0,1
62,0,109.8,9,4,4,0,1,0,0,0
11,1,111.0,11,18,4,2,0,0,0,0
61,1,118.8,9,2,4,2,2,0,0,1
49,0,62.8,3,24,3,3,1,3,0,1
89,1,79.5,4,9,4,1,2,3,0,1
15,1,137.0,4,20,4,2,0,0,3,1
17,2,128.0,9,15,4,2,0,3,0,1
24,1,141.0,3,26,4,1,1,0,0,1
39,0,116.1,5,12,4,2,0,3,0,0
21,0,104.05,3,1,4,2,0,0,0,1
0,0,77.0,11,14,2,0,1,0,0,1
3,0,79.2,8,17,2,5,1,0,0,0
52,1,78.3,2,19,4,2,0,0,0,0
247,0,96.3,8,11,4,2,0,0,0,0
12,2,111.0,2,7,4,0,2,0,0,1
100,2,92.65,4,25,4,4,1,0,0,1
256,0,115.0,6,15,3,2,0,1,0,0
141,1,114.3,8,10,4,2,0,0,0,1
248,0,106.0,10,31,2,2,1,0,4,0
196,0,122.4,10,8,4,1,1,0,3,0
37,1,74.8,12,14,4,4,0,0,0,1
32,0,85.0,3,13,3,2,2,0,0,1
64,0,75.0,11,18,3,2,1,0,0,1
32,0,81.0,9,25,3,3,2,0,0,1
2,1,126.0,9,30,4,2,0,0,0,1
208,0,116.1,9,11,4,1,2,3,1,0
7,0,86.0,2,5,2,2,0,0,4,1
3,1,67.0,10,23,2,0,2,0,0,1
7,1,102.33,6,13,4,2,1,3,0,1
6,1,68.0,3,1,2,2,0,0,0,1
3,0,166.25,9,22,2,1,0,0,3,1
104,0,119.7,8,21,4,1,2,0,0,1
5,0,90.0,8,10,4,4,1,0,0,0
92,0,85.5,8,17,4,1,1,0,0,1
104,2,142.2,7,21,4,3,1,0,3,1
3,0,110.0,10,19,3,3,1,0,0,1
115,0,72.25,8,20,3,2,2,0,0,1
46,1,105.5,11,4,4,3,0,0,1,1
1,1,116.0,10,10,3,1,1,0,0,1
45,1,101.7,6,20,4,2,1,0,0,1
40,1,134.1,9,10,4,1,1,3,0,1
39,1,72.2,2,28,4,2,2,3,0,1
188,1,186.3,7,16,4,1,2,0,5,0
6,0,91.0,3,4,4,1,0,3,0,1
47,1,80.3,2,19,4,2,0,0,0,1
144,0,103.5,8,15,4,2,1,3,0,0
12,3,124.0,9,14,4,2,1,0,0,1
75,1,127.8,7,30,4,1,0,0,3,1
7,1,124.0,9,7,4,0,1,0,0,0
67,0,76.5,7,20,4,8,3,0,0,0
45,0,88.55,10,23,4,1,0,0,0,1
18,0,50.33,2,22,3,5,1,0,0,1
3,1,96.5,11,5,4,3,0,0,1,1
0,1,155.0,9,21,4,3,1,0,3,1
35,0,85.0,10,19,3,3,0,0,0,1
2,0,87.3,1,15,4,2,0,0,3,1
37,0,94.5,6,20,4,2,1,0,0,1
119,0,140.4,5,27,4,2,1,0,3,0
172,1,96.3,7,3,4,1,2,0,0,1
266,0,75.0,12,2,3,2,0,0,0,1
13,1,141.33,3,28,4,2,1,0,0,1
4,0,88.0,3,7,3,3,1,1,0,1
224,1,86.62,8,1,4,2,1,0,1,1
119,3,72.25,12,26,4,1,2,0,0,1
13,2,99.0,5,8,4,0,2,3,0,1
206,1,119.85,9,27,4,4,0,0,0,0
76,0,130.0,5,17,2,2,0,0,0,1
11,0,95.0,4,17,4,0,1,0,0,1
41,1,107.0,3,27,3,1,2,1,0,1
225,0,71.91,12,29,4,3,2,3,0,0
51,0,79.2,11,12,4,1,1,3,0,0
90,0,90.0,5,8,3,3,2,1,0,1
8,2,176.0,4,21,4,3,0,0,3,1
1,0,118.0,9,29,2,3,0,1,0,1
0,2,45.0,3,15,3,1,0,0,3,1
20,0,76.0,11,1,4,3,0,3,0,1
155,1,101.88,7,17,4,5,2,0,0,0
1,0,89.0,8,10,4,3,1,0,0,1
109,0,81.25,3,27,4,2,2,3,0,0
54,1,57.93,11,16,4,3,0,3,0,1
60,1,123.98,9,5,4,3,1,0,3,0
113,2,113.05,12,27,4,5,2,0,3,0
145,1,76.5,8,15,4,2,2,0,0,1
228,1,136.19,12,29,4,4,2,0,5,0
160,0,146.7,8,22,4,2,1,0,3,0
28,1,113.79,9,11,4,5,2,0,0,0
11,1,65.0,2,15,2,0,1,0,0,1
103,0,126.0,12,6,4,1,0,0,3,0
166,2,89.25,10,12,4,3,1,0,0,1
43,0,168.3,7,14,4,1,0,0,3,0
5,2,75.0,7,4,3,2,1,0,0,1
35,1,117.0,9,25,4,1,2,0,0,1
23,1,89.64,10,30,4,5,2,3,0,0
208,0,75.44,12,29,4,4,0,0,0,0
35,2,103.5,11,26,4,3,0,3,0,1
71,0,96.3,3,18,4,2,1,0,3,1
16,1,109.0,3,17,4,3,0,0,0,1
63,2,94.95,4,26,4,2,0,3,0,1
23,2,139.0,9,25,4,3,2,0,0,1
153,2,105.3,8,1,4,0,1,0,0,0
80,0,87.32,1,7,4,1,0,0,0,1
298,0,76.0,5,10,3,2,0,0,0,1
3,1,104.0,12,5,4,1,2,0,0,1
99,0,90.0,2,19,2,1,0,0,0,0
0,0,200.0,9,16,4,1,0,0,0,1
3,1,102.0,1,19,4,4,0,0,3,1
